customer_id,gender,senior_citizen,partner,dependents,tenure_months,phone_service,internet_service,contract,payment_method,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn
CUST00001,Female,0,Yes,No,71,Yes,No,Month-to-month,Electronic check,Yes,No,No,Yes,33.66,2356.03,0
CUST00002,Male,0,No,Yes,19,Yes,DSL,One year,Electronic check,No,No internet service,No internet service,No,71.98,1386.86,0
CUST00003,Male,0,Yes,No,30,Yes,Fiber optic,Month-to-month,Mailed check,No internet service,No,Yes,Yes,68.37,1948.48,0
CUST00004,Female,0,No,No,32,Yes,Fiber optic,One year,Electronic check,No,No internet service,No,No,70.14,2466.53,1
CUST00005,Female,0,Yes,No,22,No,DSL,One year,Credit card,No,No,No,No,68.25,1425.43,1
CUST00006,Male,1,Yes,No,66,Yes,Fiber optic,Month-to-month,Bank transfer,No,No internet service,Yes,No,80.59,5235.38,0
CUST00007,Female,0,Yes,No,21,Yes,Fiber optic,One year,Credit card,No,No,No,Yes,68.09,1593.11,0
CUST00008,Male,0,Yes,Yes,25,Yes,Fiber optic,Two year,Electronic check,Yes,No internet service,No,No,73.48,1560.85,0
CUST00009,Female,0,No,No,54,No,No,Month-to-month,Electronic check,No,No internet service,No,No,27.97,1503.0,0
CUST00010,Female,1,Yes,Yes,20,Yes,No,One year,Bank transfer,Yes,No internet service,No,No,18.0,336.15,0
CUST00011,Male,0,No,No,10,Yes,Fiber optic,Two year,Electronic check,No,No internet service,Yes,Yes,80.73,791.16,1
CUST00012,Male,0,Yes,Yes,31,Yes,No,Month-to-month,Electronic check,No,No,Yes,Yes,35.94,997.81,0
CUST00013,Male,0,Yes,Yes,12,Yes,DSL,Two year,Mailed check,No,No,No,No,55.07,630.47,0
CUST00014,Male,1,Yes,No,11,Yes,DSL,Month-to-month,Electronic check,No,No,No,Yes,52.76,569.76,1
CUST00015,Male,0,Yes,No,4,Yes,Fiber optic,One year,Electronic check,No internet service,No,No,No,67.7,269.9,0
CUST00016,Male,0,No,No,5,Yes,Fiber optic,Two year,Electronic check,No internet service,No,Yes,Yes,72.23,376.57,0
CUST00017,Male,0,No,Yes,5,Yes,Fiber optic,Two year,Credit card,No,No,Yes,No,86.8,354.72,0
CUST00018,Female,1,Yes,No,72,Yes,Fiber optic,One year,Electronic check,Yes,No,No,Yes,64.13,4484.33,0
CUST00019,Male,0,No,Yes,5,Yes,No,One year,Bank transfer,Yes,No internet service,No internet service,No,26.51,128.28,0
CUST00020,Female,0,No,Yes,12,Yes,DSL,Month-to-month,Bank transfer,Yes,No internet service,No,Yes,56.01,655.65,0
CUST00021,Male,1,No,No,26,Yes,No,Month-to-month,Mailed check,No,No,No,Yes,19.35,494.17,1
CUST00022,Female,0,No,Yes,42,Yes,Fiber optic,Two year,Mailed check,No internet service,No,No,Yes,82.97,3212.55,0
CUST00023,Female,0,No,No,45,Yes,Fiber optic,Month-to-month,Electronic check,No internet service,No internet service,No,No,70.95,2783.15,0
CUST00024,Male,0,No,Yes,15,No,DSL,Two year,Electronic check,No,No,No internet service,Yes,53.64,800.74,0
CUST00025,Male,0,No,Yes,30,Yes,DSL,Month-to-month,Mailed check,No,No,Yes,Yes,60.88,1662.76,0
CUST00026,Male,0,No,No,25,Yes,Fiber optic,Month-to-month,Credit card,No internet service,No,No,Yes,74.71,1883.05,0
CUST00027,Female,0,No,Yes,28,Yes,Fiber optic,Month-to-month,Mailed check,No,No,Yes,No,86.61,2217.48,0
CUST00028,Male,0,Yes,No,31,Yes,Fiber optic,Month-to-month,Mailed check,No internet service,No,Yes,Yes,90.17,2874.91,1
